"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"java","aopalliance:aopalliance","1.0","PUBDOM","","https://mvnrepository.com/artifact/aopalliance/aopalliance"
"java","apicodopsan-common","--","Apache-2.0","",""
"java","cglib:cglib","2.2.2","Apache-2.0","","https://mvnrepository.com/artifact/cglib/cglib"
"java","com.fasterxml.jackson.core:jackson-annotations","2.12.1","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-annotations"
"java","com.fasterxml.jackson.core:jackson-core","2.12.1","Apache-2.0","Copyright (c) 2007 Tatu Saloranta, tatu.salorantaiki.fi/","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-core"
"java","com.fasterxml.jackson.core:jackson-databind","2.12.1","Apache-2.0","Copyright 2011 Google Inc. All Rights Reserved.","https://mvnrepository.com/artifact/com.fasterxml.jackson.core/jackson-databind"
"java","com.fasterxml.jackson.jaxrs:jackson-jaxrs-base","2.9.9","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.jaxrs/jackson-jaxrs-base"
"java","com.fasterxml.jackson.module:jackson-module-jaxb-annotations","2.12.1","Apache-2.0","","https://mvnrepository.com/artifact/com.fasterxml.jackson.module/jackson-module-jaxb-annotations"
"java","commons-httpclient:commons-httpclient","2.0.2","Apache-2.0","","https://mvnrepository.com/artifact/commons-httpclient/commons-httpclient"
"java","commons-io","2.5","Apache-2.0","",""
"java","commons-logging:commons-logging","1.1.1","Apache-2.0","","https://mvnrepository.com/artifact/commons-logging/commons-logging"
"java","csi-apachesoap","1.4.6","Apache-2.0","",""
"java","csi-core","1.4.6","Apache-2.0","",""
"java","csi-ejb","1.4.6","Apache-2.0","",""
"java","csi-rmi","1.4.6","Apache-2.0","",""
"java","csi-stadapter","1.4.6","Apache-2.0","",""
"java","deleghebe-itf","1.3.0","Apache-2.0","",""
"java","ejb","2.1","CDDL","",""
"java","io.swagger:swagger-annotations","1.5.18","Apache-2.0","","https://mvnrepository.com/artifact/io.swagger/swagger-annotations"
"java","io.swagger:swagger-jaxrs","1.5.18","Apache-2.0","","https://mvnrepository.com/artifact/io.swagger/swagger-jaxrs"
"java","iridev2-pep-intf","2.0.0","Apache-2.0","",""
"java","jakarta.validation:jakarta.validation-api","2.0.2","Apache-2.0","",""
"java","javax.jws:javax.jws-api","1.1","CDDL-1.1","Copyright (C) 1989, 1991 Free Software Foundation, Inc.51 Franklin Street, Fifth FloorBoston, MA 02110-1335USA",""
"java","javax.mail:mail","--","libpng-2.0","","https://mvnrepository.com/artifact/javax.mail/mail"
"java","javax.xml.bind:activation","1.0.2","CDDL-1.1","","https://mvnrepository.com/artifact/javax.xml.bind/activation"
"java","javax.xml.bind:jaxb-api","--","CNRI-Python-GPL-Compatible,CDDL-1.1","","https://mvnrepository.com/artifact/javax.xml.bind/jaxb-api"
"java","javax.xml.ws:jaxws-api","2.3.1","CDDL,GPL-2.0,Apache-2.0","Copyright (C) 1989, 1991 Free Software Foundation, Inc.    51 Franklin Street, Fifth Floor    Boston, MA 02110-1335    USA","https://mvnrepository.com/artifact/javax.xml.ws/jaxws-api"
"java","jms","1.0.2","CDDL","",""
"java","jndi","1.2.1","CDDL","",""
"java","log4j:log4j","1.2.14","Apache-2.0","","https://mvnrepository.com/artifact/log4j/log4j"
"java","org.apache.commons:commons-lang3","3.2.1","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.commons/commons-lang3"
"java","org.apache.cxf.services.sts:cxf-services-sts-core","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.services.sts/cxf-services-sts-core"
"java","org.apache.cxf.services.ws-discovery:cxf-services-ws-discovery-api","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.services.ws-discovery/cxf-services-ws-discovery-api"
"java","org.apache.cxf.services.ws-discovery:cxf-services-ws-discovery-service","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.services.ws-discovery/cxf-services-ws-discovery-service"
"java","org.apache.cxf.services.wsn:cxf-services-wsn-api","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.services.wsn/cxf-services-wsn-api"
"java","org.apache.cxf.services.wsn:cxf-services-wsn-core","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.services.wsn/cxf-services-wsn-core"
"java","org.apache.cxf.xjc-utils:cxf-xjc-runtime","3.3.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.xjc-utils/cxf-xjc-runtime"
"java","org.apache.cxf.xjcplugins:cxf-xjc-boolean","3.3.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.xjcplugins/cxf-xjc-boolean"
"java","org.apache.cxf.xjcplugins:cxf-xjc-bug671","3.3.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.xjcplugins/cxf-xjc-bug671"
"java","org.apache.cxf.xjcplugins:cxf-xjc-dv","3.3.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.xjcplugins/cxf-xjc-dv"
"java","org.apache.cxf.xjcplugins:cxf-xjc-javadoc","3.3.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.xjcplugins/cxf-xjc-javadoc"
"java","org.apache.cxf.xjcplugins:cxf-xjc-ts","3.3.0","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf.xjcplugins/cxf-xjc-ts"
"java","org.apache.cxf:cxf-core","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-core"
"java","org.apache.cxf:cxf-distribution-manifest","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-distribution-manifest"
"java","org.apache.cxf:cxf-rt-bindings-coloc","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-bindings-coloc"
"java","org.apache.cxf:cxf-rt-bindings-corba","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-bindings-corba"
"java","org.apache.cxf:cxf-rt-bindings-soap","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-bindings-soap"
"java","org.apache.cxf:cxf-rt-bindings-xml","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-bindings-xml"
"java","org.apache.cxf:cxf-rt-databinding-aegis","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-databinding-aegis"
"java","org.apache.cxf:cxf-rt-databinding-jaxb","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-databinding-jaxb"
"java","org.apache.cxf:cxf-rt-features-clustering","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-features-clustering"
"java","org.apache.cxf:cxf-rt-features-logging","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-features-logging"
"java","org.apache.cxf:cxf-rt-features-metrics","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-features-metrics"
"java","org.apache.cxf:cxf-rt-features-throttling","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-features-throttling"
"java","org.apache.cxf:cxf-rt-frontend-jaxrs","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-frontend-jaxrs"
"java","org.apache.cxf:cxf-rt-frontend-jaxws","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-frontend-jaxws"
"java","org.apache.cxf:cxf-rt-frontend-js","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-frontend-js"
"java","org.apache.cxf:cxf-rt-frontend-simple","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-frontend-simple"
"java","org.apache.cxf:cxf-rt-javascript","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-javascript"
"java","org.apache.cxf:cxf-rt-management","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-management"
"java","org.apache.cxf:cxf-rt-rs-client","3.3.2","Apache-2.0","","https://mvnrepository.com/artifact/org.apache.cxf/cxf-rt-rs-client"
